Column,Frequency,Percentage,Files
NHWA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHWA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHBA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHBA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHIA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHIA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHAA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHAA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHNA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHNA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHTOM_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHTOM_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHWAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHWAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHBAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHBAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHIAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHIAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHAAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHAAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHNAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
NHNAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
H_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
H_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HWA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HWA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HBA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HBA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HIA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HIA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HAA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HAA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HNA_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HNA_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HTOM_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HTOM_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HWAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HWAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HBAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HBAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HIAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HIAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HAAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HAAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HNAC_MALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
HNAC_FEMALE,40,80.0,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv; nc-est2022-alldata-p-file03.csv; nc-est2022-alldata-r-file07.csv"
CSA,1,2.0,"csa-est2022.csv"
CBSA,3,6.0,"csa-est2022.csv; prc-csa-est2022.csv; cbsa-est2022.csv"
MDIV,2,4.0,"csa-est2022.csv; cbsa-est2022.csv"
STCOU,4,8.0,"csa-est2022.csv; prc-cbsa-est2022.csv; prc-csa-est2022.csv; cbsa-est2022.csv"
LSAD,4,8.0,"csa-est2022.csv; prc-cbsa-est2022.csv; prc-csa-est2022.csv; cbsa-est2022.csv"
NPOPCHG2020,4,8.0,"csa-est2022.csv; prc-cbsa-est2022.csv; prc-csa-est2022.csv; cbsa-est2022.csv"
NPOPCHG2021,4,8.0,"csa-est2022.csv; prc-cbsa-est2022.csv; prc-csa-est2022.csv; cbsa-est2022.csv"
NPOPCHG2022,4,8.0,"csa-est2022.csv; prc-cbsa-est2022.csv; prc-csa-est2022.csv; cbsa-est2022.csv"
﻿CBSA,1,2.0,"prc-cbsa-est2022.csv"
﻿CSA,1,2.0,"prc-csa-est2022.csv"
